timestamp_day,count,daily_engagement
2018-11-05,187,0.11839714327320616
2018-11-06,1649,1.0440475361364543
2018-11-07,1627,1.0301184604572535
2018-11-08,1695,1.0731719671020556
2018-11-09,1525,0.9655382004900502
2018-11-10,866,0.5482990699176286
2018-11-11,958,0.6065479318488315
2018-11-12,1539,0.9744021577404507
2018-11-13,1652,1.0459469555472545
2018-11-14,1605,1.0161893847780528
2018-11-15,1570,0.9940294916520517
2018-11-16,1459,0.923750973452448
2018-11-17,857,0.5426008116852282
2018-11-18,793,0.5020798642548261
2018-11-19,1728,1.094065580620857
2018-11-20,1756,1.111793495121658
2018-11-21,1719,1.0883673223884565
2018-11-22,1525,0.9655382004900502
2018-11-23,1915,1.212462723894063
2018-11-24,1482,0.9383131889352488
2018-11-25,1360,0.8610701328960447
2018-11-26,2150,1.3612505777400707
2018-11-27,822,0.5204409185592271
2018-11-28,1758,1.113059774728858
2018-11-29,1997,1.2643801877892658
2018-11-30,1664,1.0535446331904548
2018-12-01,931,0.5894531571516306
2018-12-02,1001,0.633772943403633
2018-12-03,1898,1.2016993472328625
2018-12-04,1772,1.1219237319792583
2018-12-05,1694,1.0725388272984557
2018-12-06,1657,1.0491126545652545
2018-12-07,1616,1.0231539226176531
2018-12-08,978,0.6192107279208322
2018-12-09,868,0.5495653495248286
2018-12-10,1736,1.0991306990496572
2018-12-11,1732,1.0965981398352571
2018-12-12,1719,1.0883673223884565
2018-12-13,1740,1.1016632582640573
2018-12-14,1496,0.9471771461856493
2018-12-15,878,0.555896747560829
2018-12-16,886,0.5609618659896292
2018-12-17,1687,1.0681068486732554
2018-12-18,1706,1.080136504941656
2018-12-19,1454,0.9205852744344479
2018-12-20,1587,1.0047928683132523
2018-12-21,1333,0.843975358198844
2018-12-22,868,0.5495653495248286
2018-12-23,677,0.4286356470372223
2018-12-24,706,0.4469967013416233
2018-12-25,544,0.3444280531584179
2018-12-26,1070,0.6774595898520352
2018-12-27,1237,0.7831939370532406
2018-12-28,1155,0.731276473158038
2018-12-29,971,0.614778749295632
2018-12-30,863,0.5463996505068285
2018-12-31,1023,0.6477020190828336
2019-01-01,776,0.4913164875936255
2019-01-02,1816,1.1497818833376598
2019-01-03,1934,1.2244923801624636
2019-01-04,1598,1.0117574061528527
2019-01-05,954,0.6040153726344314
2019-01-06,1004,0.6356723628144331
2019-01-07,1795,1.136485947462059
2019-01-08,1746,1.1054620970856575
2019-01-09,1706,1.080136504941656
2019-01-10,1713,1.0845684835668563
2019-01-11,1513,0.9579405228468498
2019-01-12,927,0.5869205979372305
2019-01-13,964,0.6103467706704317
2019-01-14,1776,1.1244562911936584
2019-01-15,1727,1.0934324408172569
2019-01-16,1848,1.1700423570528609
2019-01-17,1759,1.113692914532458
2019-01-18,1519,0.9617393616684501
2019-01-19,915,0.5793229202940301
2019-01-20,965,0.6109799104740318
2019-01-21,1644,1.0408818371184543
2019-01-22,1748,1.1067283766928575
2019-01-23,1838,1.1637109590168604
2019-01-24,1642,1.039615557511254
2019-01-25,1533,0.9706033189188504
2019-01-26,929,0.5881868775444307
2019-01-27,1027,0.6502345782972339
2019-01-28,1784,1.1295214096224586
2019-01-29,1762,1.115592333943258
2019-01-30,1738,1.1003969786568573
2019-01-31,1682,1.0649411496552554
2019-02-01,1662,1.0522783535832547
2019-02-02,937,0.5932519959732309
2019-02-03,896,0.5672932640256295
2019-02-04,1673,1.059242891422855
2019-02-05,1688,1.0687399884768556
2019-02-06,1856,1.175107475481661
2019-02-07,1716,1.0864679029776565
2019-02-08,1516,0.9598399422576499
2019-02-09,968,0.6128793298848318
2019-02-10,913,0.57805664068683
2019-02-11,1786,1.1307876892296589
2019-02-12,1684,1.0662074292624553
2019-02-13,1804,1.1421842056944596
2019-02-14,1745,1.1048289572820575
2019-02-15,1687,1.0681068486732554
2019-02-16,1080,0.6837909878880355
2019-02-17,981,0.6211101473316323
2019-02-18,1821,1.1529475823556599
2019-02-19,1916,1.213095863697663
2019-02-20,1870,1.1839714327320616
2019-02-21,1817,1.1504150231412598
2019-02-22,1614,1.021887643010453
2019-02-23,967,0.6122461900812318
2019-02-24,1022,0.6470688792792336
2019-02-25,2016,1.2764098440576663
2019-02-26,1950,1.2346226170200643
2019-02-27,1950,1.2346226170200643
2019-02-28,1862,1.1789063143032612
2019-03-01,1762,1.115592333943258
2019-03-02,1033,0.654033417118834
2019-03-03,1027,0.6502345782972339
2019-03-04,1997,1.2643801877892658
2019-03-05,2012,1.2738772848432662
2019-03-06,1938,1.2270249393768637
2019-03-07,1928,1.2206935413408635
2019-03-08,1706,1.080136504941656
2019-03-09,1003,0.6350392230108329
2019-03-10,984,0.6230095667424324
2019-03-11,1932,1.2232261005552636
2019-03-12,1971,1.247918552895665
2019-03-13,1872,1.1852377123392617
2019-03-14,970,0.6141456094920319
2019-03-15,1579,0.999727749884452
2019-03-16,974,0.6166781687064321
2019-03-17,1023,0.6477020190828336
2019-03-18,2022,1.2802086828792665
2019-03-19,1990,1.2599482091640655
2019-03-20,1920,1.2156284229120633
2019-03-21,1884,1.192835389982462
2019-03-22,1792,1.134586528051259
2019-03-23,967,0.6122461900812318
2019-03-24,982,0.6217432871352323
2019-03-25,1970,1.2472854130920648
2019-03-26,1976,1.251084251913665
2019-03-27,1883,1.192202250178862
2019-03-28,1871,1.1846045725356615
2019-03-29,1765,1.117491753354058
2019-03-30,953,0.6033822328308314
2019-03-31,1083,0.6856904072988357
2019-04-01,2197,1.3910081485092725
2019-04-02,2140,1.3549191797040705
2019-04-03,2051,1.2985697371836675
